date,ventas,split
2022-07-31,144303.7575693104,train
2022-08-07,141396.4749899605,train
2022-08-14,143241.1241349184,train
2022-08-21,146387.1638383663,train
2022-08-28,146891.0358899037,train
2022-09-04,142428.3662235617,train
2022-09-11,148632.9953875922,train
2022-09-18,143042.8649365757,train
2022-09-25,143558.8512607288,train
2022-10-02,142969.7751017143,train
2022-10-09,144497.3795820615,train
2022-10-16,147090.721186951,train
2022-10-23,147764.0028518714,train
2022-10-30,143303.409052798,train
2022-11-06,152988.06522927,train
2022-11-13,145210.0164467095,train
2022-11-20,150870.9952162458,train
2022-11-27,151329.4516025152,train
2022-12-04,150438.7626298098,train
2022-12-11,155769.3559878049,train
2022-12-18,155439.0384507849,train
2022-12-25,160339.0170395282,train
2023-01-01,163572.9630264299,train
2023-01-08,169392.2354276687,train
2023-01-15,167368.282432212,train
2023-01-22,166152.7575875441,train
2023-01-29,168843.4214863812,train
2023-02-05,172524.4080858818,train
2023-02-12,174057.7365605132,train
2023-02-19,180390.27771542,train
2023-02-26,181552.8175668785,train
2023-03-05,176620.1592375448,train
2023-03-12,176969.8610564944,train
2023-03-19,170749.5712822884,train
2023-03-26,178374.8170702484,train
2023-04-02,177252.4737043807,train
2023-04-09,179594.6934540849,train
2023-04-16,182150.8883258324,train
2023-04-23,181131.9032789642,train
2023-04-30,179933.7091168885,train
2023-05-07,180070.3224042417,train
2023-05-14,178083.5463135553,train
2023-05-21,178203.9737050817,train
2023-05-28,165050.1165110876,train
2023-06-04,174136.428474637,train
2023-06-11,173309.4741603309,train
2023-06-18,171043.967606239,train
2023-06-25,169964.1572053885,train
2023-07-02,171650.7746015127,train
2023-07-09,165558.0405959368,train
2023-07-16,173842.4521126763,train
2023-07-23,167089.9659501393,train
2023-07-30,163277.3473114152,train
2023-08-06,161296.2512783817,train
2023-08-13,160561.1429348614,train
2023-08-20,156649.8451137106,train
2023-08-27,158673.3844755435,train
2023-09-03,159315.1735453682,train
2023-09-10,159895.043906117,train
2023-09-17,159626.9491277766,train
2023-09-24,156579.7279079809,train
2023-10-01,152746.4148188759,train
2023-10-08,155740.4806696851,train
2023-10-15,164321.7916316958,train
2023-10-22,162624.4739701671,train
2023-10-29,161795.6119510503,train
2023-11-05,159044.7662089888,train
2023-11-12,163109.421144166,train
2023-11-19,160252.9143211639,train
2023-11-26,164412.1145989613,train
2023-12-03,167306.0758585804,train
2023-12-10,168820.5923382391,train
2023-12-17,175434.0474700583,train
2023-12-24,169172.355042992,train
2023-12-31,185187.2032659132,test
2024-01-07,173483.1287917386,test
2024-01-14,176015.7554766627,test
2024-01-21,182780.2959702283,test
2024-01-28,178666.6030122568,test
2024-02-04,188727.0794944666,test
2024-02-11,198920.822492156,test
2024-02-18,189576.5284945155,test
2024-02-25,191852.1549497734,test
2024-03-03,190410.9062125662,test
2024-03-10,196557.841564337,test
2024-03-17,193073.1169070333,test
2024-03-24,196429.338464267,test
2024-03-31,194032.8363900793,test
2024-04-07,195908.693467458,test
2024-04-14,195813.2168772139,test
2024-04-21,207440.6789689161,test
2024-04-28,202682.5737219357,test
2024-05-05,194951.404266402,test
2024-05-12,191462.6631120693,test
2024-05-19,193775.1696019483,test
2024-05-26,182879.1360374162,test
2024-06-02,196005.1029656264,test
2024-06-09,189023.5652055431,test
2024-06-16,192812.6842148844,test
2024-06-23,187703.7287906421,test
2024-06-30,180854.6649735433,test
2024-07-07,175783.2798558608,test
2024-07-14,182793.4505935361,test
2024-07-21,178452.9394712657,test
2024-07-28,179420.9415062982,test
2024-08-04,176477.168921365,test
2024-08-11,175021.7752291747,test
2024-08-18,184262.6629731947,test
2024-08-25,173039.192553341,test
2024-09-01,171836.4770584911,test
2024-09-08,171495.6319417506,test
2024-09-15,169609.7104463486,test
2024-09-22,175061.3185065193,test
2024-09-29,170518.616588522,test
2024-10-06,174362.1933853123,test
2024-10-13,173729.2806402539,test
2024-10-20,177808.7744447498,test
2024-10-27,176026.626042499,test
2024-11-03,171516.5033863865,test
2024-11-10,184508.0099081231,test
2024-11-17,183631.1007863058,test
2024-11-24,178267.459906526,test
2024-12-01,177596.2325792688,test
2024-12-08,181796.7210542773,test
2024-12-15,190566.1832698043,test
2024-12-22,183221.2042998503,test
