date,diff
2023-07-30,-3812.618638724118
2023-08-06,-1981.0960330334783
2023-08-13,-735.1083435203182
2023-08-20,-3911.2978211508016
2023-08-27,2023.5393618329254
2023-09-03,641.7890698246774
2023-09-10,579.8703607488133
2023-09-17,-268.09477834039717
2023-09-24,-3047.221219795698
2023-10-01,-3833.3130891050096
2023-10-08,2994.0658508091874
2023-10-15,8581.310962010728
2023-10-22,-1697.3176615287084
2023-10-29,-828.8620191168156
2023-11-05,-2750.8457420615014
2023-11-12,4064.654935177212
2023-11-19,-2856.506823002099
2023-11-26,4159.200277797412
2023-12-03,2893.9612596191
2023-12-10,1514.5164796586905
2023-12-17,6613.45513181921
2023-12-24,-6261.6924270663
